t1 t103 t43 t167 t3 t23 ||| t1 t103 t43 t167 t3 t23 ||| 0.666667 0.0259508 0.666667 0.0229069 2.718 ||| 0-0 1-1 2-2 3-3 4-4 5-5 ||| 3 3 2
t1 t103 t43 t167 t76 t77 ||| t1 t103 t43 t167 t76 t77 ||| 0.428571 0.0121436 1 0.0157123 2.718 ||| 0-0 1-1 2-2 3-3 4-4 5-5 ||| 7 3 3
t1 t103 t43 t167 t76 ||| t1 t103 t43 t167 t76 ||| 0.4 0.0264104 0.8 0.0277527 2.718 ||| 0-0 1-1 2-2 3-3 4-4 ||| 10 5 4
t1 t103 t43 t2 t3 t4 ||| t1 t103 t43 t2 t3 t4 ||| 0.666667 0.0265495 0.666667 0.0182542 2.718 ||| 0-0 1-1 2-2 3-3 4-4 5-5 ||| 3 3 2
t1 t103 t43 t3 t20 t29 ||| t1 t103 t43 t3 t20 t29 ||| 0.666667 0.0318727 0.666667 0.0282021 2.718 ||| 0-0 1-1 2-2 3-3 4-4 5-5 ||| 3 3 2
t1 t103 t43 t3 t29 ||| t1 t103 t43 t3 t29 ||| 0.666667 0.0602055 1 0.0556313 2.718 ||| 0-0 1-1 2-2 3-3 4-4 ||| 3 2 2
t1 t103 t43 t470 ||| t1 t103 t43 t470 ||| 0.666667 0.0280845 0.666667 0.0213038 2.718 ||| 0-0 1-1 2-2 3-3 ||| 3 3 2
t1 t103 ||| t1 t103 t103 ||| 0.666667 0.307209 0.00455581 0.114704 2.718 ||| 0-0 1-1 1-2 ||| 3 439 2
t1 t103 ||| t1 t302 ||| 1 0.217272 0.00455581 0.000514229 2.718 ||| 0-0 1-1 ||| 2 439 2
t1 t105 t3 t26 ||| t36 t3 t26 ||| 0.000460511 0.000111986 0.666667 0.0269401 2.718 ||| 0-0 1-0 2-1 3-2 ||| 4343 3 2
t1 t105 t43 t3 ||| t1 t105 t43 t3 ||| 1 0.0580189 0.666667 0.0526861 2.718 ||| 0-0 1-1 2-2 3-3 ||| 2 3 2
t1 t105 t43 ||| t1 t105 t43 ||| 1 0.076553 0.666667 0.0708874 2.718 ||| 0-0 1-1 2-2 ||| 2 3 2
t1 t11 t11 t3 ||| t1 t11 t11 t3 ||| 1 0.0506939 0.666667 0.0418971 2.718 ||| 0-0 1-1 2-2 3-3 ||| 2 3 2
t1 t11 t11 ||| t1 t11 t11 ||| 1 0.0668881 0.666667 0.0563713 2.718 ||| 0-0 1-1 2-2 ||| 2 3 2
t1 t11 t3 t20 ||| t1 t11 t3 t20 ||| 0.75 0.0837773 0.230769 0.0741977 2.718 ||| 0-0 1-1 2-2 3-3 ||| 4 13 3
t1 t11 t3 t23 t49 t27 ||| t1 t11 t3 t23 t49 t27 ||| 0.666667 0.025168 0.666667 0.0317498 2.718 ||| 0-0 1-1 2-2 3-3 4-4 5-5 ||| 3 3 2
t1 t11 t3 t39 t1 ||| t1 t11 t3 t39 t1 ||| 0.666667 0.041692 0.666667 0.0234898 2.718 ||| 0-0 1-0 1-1 2-2 3-3 4-4 ||| 3 3 2
t1 t11 t3 t4 t3 t36 t3 ||| t1 t11 t3 t4 t3 t36 t3 ||| 1 0.0269402 1 0.0229569 2.718 ||| 0-0 1-1 2-2 3-3 4-4 5-5 6-6 ||| 3 3 3
t1 t11 t3 t4 t3 t36 ||| t1 t11 t3 t4 t3 t36 ||| 1 0.0355462 1 0.0308878 2.718 ||| 0-0 1-1 2-2 3-3 4-4 5-5 ||| 3 3 3
t1 t11 t3 t4 ||| t1 t11 t2 t3 t4 ||| 0.666667 0.0412434 0.0240964 0.0100076 2.718 ||| 0-0 1-1 1-2 2-3 3-4 ||| 3 83 2
t1 t11 t3 t45 t49 ||| t1 t11 t3 t45 t49 ||| 0.333333 0.057338 1 0.0731821 2.718 ||| 0-0 1-1 2-2 3-3 4-4 ||| 6 2 2
t1 t121 t3 t111 ||| t1 t121 t3 t111 ||| 1 0.01231 0.4 0.0262354 2.718 ||| 0-0 1-1 2-2 3-3 ||| 2 5 2
t1 t1288 t26 ||| t1 t167 t26 ||| 0.00284091 0.000111537 0.666667 0.08583 2.718 ||| 0-0 1-1 2-2 ||| 704 3 2
t1 t1288 ||| t1 t167 ||| 0.000874891 0.000131276 0.666667 0.0917242 2.718 ||| 0-0 1-1 ||| 2286 3 2
t1 t142 t288 t103 t1200 t26 ||| t29 t23 t103 t46 t26 ||| 0.00749064 1.29347e-12 1 0.000855843 2.718 ||| 0-0 1-0 2-1 3-2 4-3 5-4 ||| 267 2 2
t1 t142 t58 t105 ||| t1 t2 t142 t173 t58 t105 ||| 1 0.00229274 0.4 2.54485e-06 2.718 ||| 0-0 1-1 1-2 2-3 2-4 3-5 ||| 2 5 2
t1 t142 t58 ||| t1 t2 t142 t173 t58 ||| 1 0.00778958 0.333333 9.14513e-06 2.718 ||| 0-0 1-1 1-2 2-3 2-4 ||| 2 6 2
t1 t149 t90 t20 t1 t3 ||| t1 t149 t90 t20 t1 t3 ||| 1 0.0306188 0.666667 0.0244261 2.718 ||| 0-0 1-1 2-2 3-3 4-4 5-5 ||| 2 3 2
t1 t149 t90 t20 t1 ||| t1 t149 t90 t20 t1 ||| 0.666667 0.0404 0.666667 0.0328646 2.718 ||| 0-0 1-1 2-2 3-3 4-4 ||| 3 3 2
t1 t167 t1 t65 t26 ||| t1 t3 t1 t65 t26 ||| 0.0869565 0.00133996 1 0.0284235 2.718 ||| 0-0 1-1 2-2 3-3 4-4 ||| 23 2 2
t1 t167 t1 t65 ||| t1 t3 t1 t65 ||| 0.0526316 0.0015771 0.666667 0.0303755 2.718 ||| 0-0 1-1 2-2 3-3 ||| 38 3 2
t1 t167 t100 t130 t29 ||| t1 t167 t100 t130 t29 ||| 1 0.0224373 0.666667 0.0186171 2.718 ||| 0-0 1-1 2-2 3-3 4-4 ||| 2 3 2
